iter	Logloss
0	0.6742690482
1	0.657665908
2	0.6428294252
3	0.6295422321
4	0.6173821408
5	0.6068770013
6	0.5979389002
7	0.5901238922
8	0.5821482118
9	0.5750273566
10	0.5685538348
11	0.5627448526
12	0.5579149887
13	0.5535062335
14	0.5499191483
15	0.5459249317
16	0.5425331662
17	0.5394999532
18	0.5370495
19	0.5345210283
20	0.5322783404
21	0.5302245878
22	0.5283886067
23	0.5266270434
24	0.5250295536
25	0.523614784
26	0.5220784248
27	0.5208458306
28	0.5196796041
29	0.5184123636
30	0.5175393202
31	0.5166344501
32	0.5158267582
33	0.5151764919
34	0.5145608786
35	0.5140038844
36	0.5134188311
37	0.5127312015
38	0.5123143187
39	0.5117451411
40	0.5113052412
41	0.5109254472
42	0.5105755884
43	0.5101682973
44	0.5097816723
45	0.509456968
46	0.5090762222
47	0.5088372311
48	0.5085700169
49	0.5081938986
50	0.5078784189
51	0.5076759493
52	0.5074681714
53	0.5072152894
54	0.5069044582
55	0.5066819362
56	0.5064509463
57	0.5062640775
58	0.5060031249
59	0.5058333651
60	0.5056508041
61	0.5054769922
62	0.5053095612
63	0.5051975363
64	0.5050454056
65	0.504903557
66	0.5047959357
67	0.5046359276
68	0.5045006219
69	0.5044121004
70	0.504264629
71	0.5041550316
72	0.5040722973
73	0.5039587745
74	0.5038337514
75	0.503749092
76	0.5036505841
77	0.5035415022
78	0.5034486584
79	0.5033334302
80	0.5032502153
81	0.5031276321
82	0.5030326602
83	0.5029263241
84	0.5027668833
85	0.5026879471
86	0.5025878823
87	0.5025005185
88	0.5024265673
89	0.502336981
90	0.5022683639
91	0.5021552598
92	0.5020489262
93	0.5019690474
94	0.5018571162
95	0.5017916796
96	0.5017053014
97	0.5016192886
98	0.5015293751
99	0.5014192967
100	0.5013269684
101	0.5012473795
102	0.5011572951
103	0.5010700453
104	0.5009926587
105	0.5009039619
106	0.5008223413
107	0.5007547141
108	0.5006700914
109	0.5005849548
110	0.500521536
111	0.5004169255
112	0.500342572
113	0.5002837435
114	0.5001942045
115	0.5001386489
116	0.5000669458
117	0.5000056026
118	0.4999443679
119	0.499863339
120	0.4997680497
121	0.4997088223
122	0.4996461107
123	0.4995880912
124	0.4994975887
125	0.4993939728
126	0.499327982
127	0.4992588794
128	0.4991667607
129	0.4991031957
130	0.4990482713
131	0.4989455814
132	0.4988768775
133	0.4988023729
134	0.4987501091
135	0.4986649964
136	0.4985816663
137	0.4985065075
138	0.4984405385
139	0.4983996483
140	0.4983535116
141	0.4982698804
142	0.4981965763
143	0.4981353941
144	0.4980587087
145	0.4979743127
146	0.4978951108
147	0.4978141784
148	0.4977432385
149	0.4976598148
150	0.497598363
151	0.4975103432
152	0.4974554524
153	0.4973850267
154	0.4973246317
155	0.497248031
156	0.4971913448
157	0.4971256717
158	0.4970351859
159	0.4969731134
160	0.4969041983
161	0.496847756
162	0.4967732944
163	0.4966831938
164	0.4965780714
165	0.4965085039
166	0.4964353719
167	0.4963807004
168	0.4963152431
169	0.4962673483
170	0.4961964864
171	0.4961352257
172	0.4960590711
173	0.4959495768
174	0.4958682476
175	0.4958149701
176	0.4957479934
177	0.4956737817
178	0.495600929
179	0.495497683
180	0.4954109067
181	0.4953450248
182	0.4952432437
183	0.4951709646
184	0.4951123983
185	0.4950274364
186	0.4949586933
187	0.4949061573
188	0.494820269
189	0.4947502348
190	0.4946872941
191	0.4945842511
192	0.4944942255
193	0.494430081
194	0.4943741304
195	0.494304613
196	0.4942175348
197	0.4941379627
198	0.4940931372
199	0.4940253802
200	0.493958176
201	0.4938719462
202	0.4938137397
203	0.4937243508
204	0.4936244269
205	0.493549906
206	0.4934293043
207	0.4933221926
208	0.493232746
209	0.4931516936
210	0.4930729233
211	0.4930126572
212	0.492932371
213	0.4928409398
214	0.4927473627
215	0.4926381473
216	0.4925574988
217	0.4924493285
218	0.4923510431
219	0.4922280324
220	0.4921777738
221	0.4920765922
222	0.4919858972
223	0.4918724036
224	0.4917545254
225	0.4916775186
226	0.4915643215
227	0.49149586
228	0.4913959819
229	0.4913382935
230	0.4912519233
231	0.4912278735
232	0.4910962145
233	0.4909789462
234	0.4908792284
235	0.4908027632
236	0.4907123896
237	0.4906208059
238	0.4905105109
239	0.4904236686
240	0.4903533798
241	0.4902395842
242	0.4901566943
243	0.4900755284
244	0.4899913272
245	0.4898609723
246	0.4897974361
247	0.4897156696
248	0.4896061994
249	0.4895216854
250	0.489418503
251	0.4893439049
252	0.4892659912
253	0.4891581798
254	0.4890657774
255	0.4889771775
256	0.4888749979
257	0.4887787373
258	0.4886801866
259	0.488610304
260	0.4884946191
261	0.4883999976
262	0.4882941638
263	0.488188694
264	0.4881090788
265	0.4879871866
266	0.487889945
267	0.4877580555
268	0.4876655681
269	0.4876110603
270	0.4875216846
271	0.487387438
272	0.4872979667
273	0.4871810729
274	0.4870586914
275	0.486934158
276	0.486821393
277	0.4867233629
278	0.4866170133
279	0.4864959898
280	0.4863898221
281	0.4862665756
282	0.4861807045
283	0.486116483
284	0.4860233394
285	0.485930429
286	0.4858175882
287	0.4857448954
288	0.4856566761
289	0.485564442
290	0.4854540589
291	0.4853471413
292	0.4852471031
293	0.4851570227
294	0.4850760562
295	0.4849942085
296	0.4848990897
297	0.4847933821
298	0.4847112796
299	0.4845984913
